상품명,평균예측평점,리뷰수,대표이미지
[CJ] 숯불향 바베큐,4.2,53,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/364116f9-c78c-4b24-bed9-219d6a28eba7.jpg
[CJ] 진한육수 곱창전골,4.5,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/2f4ad9fc-7f1c-462a-bbe4-39d0440c1410.jpg
[CJ] 평양 물냉면(4인분),4.5,35,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/aa543284-cd5f-4038-8281-fb76281cd9d6.jpg
[Chai797] 딤섬 새우 창펀 300g,4.2,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/38b4b249-8eb2-4c93-b714-2cbc4f3d7d2d.jpg
[Chai797] 부추하가우,4.7,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/c48cbbaf-65bb-4e29-864c-065b71450be0.png
[Chai797] 블랙하가우,4.6,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/05cb733b-2b0c-4f5e-a768-f2dbbd753aa2.png
[Chai797] 오리지널 짬뽕,3.6,10,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/f64e810d-0daf-481a-8dd0-f80929528131.jpg
[Chai797] 유니짜장면,4.3,36,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/c85c6ce7-c50c-4172-be14-d9a3ae135790.jpg
[Chai797] 주꾸미 쟁반짜장,4.3,6,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/858c0359-3a88-49b7-a129-1682d4425196.jpg
[KART] 통안심살이 통통 치킨텐더,4.7,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1597056927234l0.jpg
"[Kurly's] 간편하게 바삭, 고추 김말이",4.7,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1622531605122l0.jpg
"[Kurly's] 간편하게 바삭, 새우까스",4.6,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1653036924291l0.jpeg
"[Kurly's] 간편하게 바삭, 야채 김말이",4.7,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1622531502246l0.jpg
"[Kurly's] 간편하게 바삭, 탕수육",4.5,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1656061700125l0.jpg
"[Kurly's] 고기 왕만두 (1,050g/지퍼백)",4.8,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1622536776317l0.jpg
"[Kurly's] 김치 왕만두 (1,050g/지퍼백)",4.7,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1622535619962l0.jpg
[Kurly's] 데일리 그래놀라 3종 (택1),4.4,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/90043f61-fd8d-4642-b81f-6fdea9175e3e.jpg
[Kurly's] 샌드위치용 달걀감자 샐러드 500g,4.6,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1648210308822l0.jpeg
[Kurly's] 샌드위치용 달걀듬뿍 샐러드 500g,4.8,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1625200740203l0.jpg
[LITTLENECK] 리틀넥 가리비 바질 크림 리조또,4.6,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/49e3e181-b5f8-4d5c-a9b8-7be77064b386.jpg
[LITTLENECK] 리틀넥 라자냐,4.6,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1648206429954l0.jpeg
[LITTLENECK] 리틀넥 명란 크림 파스타,4.7,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/bd3fea5c-38c0-4e7f-8e0a-669e51bd052b.jpg
[LITTLENECK] 리틀넥 비프 머쉬룸 리조또,4.8,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/94674fcf-deed-4331-babb-5b42cc84f388.jpg
[LITTLENECK] 리틀넥 스테이크 키트,4.6,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/b5a8601f-c837-4d1f-bc7d-f3b3f5daefc2.jpg
[LOTS OF LOVE] 마라샹궈 (리뉴얼),4.1,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1618193523211l0.jpg
[LOTS OF LOVE] 봄맛듬뿍 곤드레밥,4.8,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1640064981843l0.jpg
[LOTS OF LOVE] 손맛듬뿍 새우볶음밥 (리뉴얼),4.7,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1644835148773l0.jpg
[LOTS OF LOVE] 입맛듬뿍 불낙볶음밥 (리뉴얼),4.4,400,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1514440709588l0.jpg
[LOTS OF LOVE] 차돌듬뿍 묵은지 볶음밥,4.7,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/165303656813l0.jpeg?v=0531
[LOTS OF LOVE] 한끼든든 시원한 황태국밥 (리뉴얼),4.8,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1644835957605l0.jpg
[LOTS OF LOVE] 한끼든든 친절한 미역국밥 (리뉴얼),4.8,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1644835312136l0.jpg
[My little recipe] 닭볶음탕 (2인용),4.5,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/f32798d4-56af-4569-a30b-1924b539f272.jpg
[My little recipe] 로제찜닭 (2인용),4.4,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/29544904-ddfb-4c1a-a30d-d61aa5fd30b4.jpg
[My little recipe] 사리듬뿍 순살 닭갈비 (2인용),4.6,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1589521767820l0.jpg
[My little recipe] 사리듬뿍 순살 닭갈비 대용량 (3~4인용),4.2,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1589522471808l0.jpg
[My little recipe] 안동에서 올라온 전통찜닭 (2인용),4.4,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/4c9ec7b6-e293-45ad-9d45-b8217da74894.jpg?v=0531
[My little recipe] 안동에서 올라온 전통찜닭 대용량 (3~4인용),4.7,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1582860898915l0.jpg
[OTTOGI] 맥앤치즈볼 300g,4.5,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/81a7905b-fef3-4ab9-8d7b-58b1bf275321.jpg
[Picard] 누아제뜨 감자,4.4,42,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/5dce206c-8086-4255-87d2-4fd0d4f8ef25.jpg
[Picard] 라따뚜이,4.5,31,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/87590813-7228-46e6-a749-5fa32e8fa558.jpg
[Picard] 미니 포테이토 그라탕 (4개입),4.4,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/f8ab6c43-2050-4cf8-8aa2-14e19fb9cb8f.jpg
[Picard] 병아리콩과 채소를 곁들인 쿠스쿠스,4.1,86,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/a2ccc94a-3773-4ddd-95ed-763dfd9ad2b0.jpg
[Picard] 시골 감자튀김,4.5,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/bcc764a0-4d6f-4e3a-9460-d2843a7c1cca.jpg
[Picard] 양송이버섯&파슬리,4.6,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/11df13ee-fed3-4d9c-864b-32db96e1bae8.jpg
[Picard] 올리브오일을 더한 으깬 감자,4.5,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/108def3c-4ae1-458b-90e3-87e8e90fb226.jpg
[Picard] 유기농 감자프라이,4.5,54,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/42e2b29c-dbc2-4d85-a57f-063011c98929.jpg
[Picard] 토마토&모짜렐라 뇨끼,4.7,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/96885853-986c-420b-a32e-4aab0789c40f.jpg
[SEMIWON] 새우 완탕,4.6,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1580201828996l0.jpg
[SEMIWON] 왕어혈교,4.6,99,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1500884175809l0.jpg
[SEMIWON] 왕하가우,4.6,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1500540457194l0.jpg
[Sea to Table] 안동에서 올라온 간고등어조림 (매콤무조림) 600g(냉장),4.5,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1571642469516l0.jpg
[The : 푸짐한] 햄폭탄 부대전골,4.8,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/54aa970d-48df-439d-b305-334a47520c4e.jpg
[The:푸짐한] 돼지고기 김치전골,4.6,30,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/6d040f93-157b-4452-9d66-f3dd59c62f56.jpg
[The미식] 볶음밥&비빔밥 3종 (2개입) (택1),4.6,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/9662e550-599e-4407-81a8-bc5d7eaa7986.jpg
[The미식] 익산 황등비빔밥 2인분 210g*2개입,4.4,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/3b272b9b-c955-46ee-b515-f4a3cfbc9f63.jpg
[The미식] 전주 돌솥비빔밥 2인분 210g*2개입,4.6,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/edde7a4f-d844-4e4c-88eb-bec1622c76cb.jpg
[The미식] 춘천 닭갈비 볶음밥 2인분 210g*2개입,4.6,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/60bc74af-bdfe-4f44-b1a1-ada99fc252f2.jpg
[YOZM] 그래놀라 토핑큐브 3종 (택1),4.5,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/a97b310a-2cea-4365-a11e-65e0e6cf09ac.jpg
[geez : 지즈] 속이 꽉 찬 브리또 6종 2개입 (택1),4.3,400,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/ab14deb8-d01c-4ec2-8105-e59095dcee6d.jpg
[간판없는집] 노량진식 카레떡볶이 520g,4.5,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/d0d0e5fb-1b69-44f9-b0c2-b4b1381fd204.jpg
[간판없는집] 떡듬뿍 꽈리 소갈비찜,4.6,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/5810a687-196f-4380-8509-b46ade3a6a98.jpg
[간판없는집] 떡듬뿍 매운 소갈비찜,4.0,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/7096a0f6-58ad-433b-84c6-385349556411.jpg
[갓포아키] 스키야키,4.4,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/96d7eaa4-7fe0-40b1-8c5e-0162d5f2f1a0.jpg
[강남면옥] 사골 만두 칼국수 (2인분),4.7,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/43c43338-1e5c-4981-a028-3a33065744c8.jpeg
[강창구찹쌀진순대] 진전통순대,4.5,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1595918041414l0.jpg
[경주미정당] 납작당면 떡볶이,4.6,75,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/2db1abaf-c61c-4a11-bda7-cc879550749f.jpg
[경주미정당] 눈감고도뚝딱 가래떡 쌀떡볶이,4.7,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1637921048844l0.jpg
[경주미정당] 밀 국물떡볶이,4.8,42,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/28cf0325-11b5-44e6-bd05-6f9612fdac19.jpg
[경주미정당] 쌀 국물떡볶이,4.6,44,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/0f214d1a-4d09-4a29-a3f2-6d2ae439f3e9.jpg
[경주미정당] 쌀로 만든 물쫄면 (2인분),4.5,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/45b651f3-a1dd-4693-8992-863fe891e10b.jpg
[경주미정당] 쌀로 만든 쫄면 (2인분),4.7,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/e07a477b-2e19-4d65-b8cf-d9df9b15014f.jpg
[고래사] 꼬치어묵전골&떡볶이,4.8,47,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/0b819671-2b20-40e5-81d2-d03a142a7c4f.jpg
[고래사] 꼬치어묵전골&유부주머니,4.7,62,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/91ddfe2e-45ac-478b-bee8-8dba87c0a490.jpg
[고래사] 냉메밀면,4.6,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/8e4b0ccd-241d-409e-bc00-fa164dfc721d.jpg
[고래사] 어묵 & 떡볶이 인기 밀키트 8종 (택1),4.6,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/6b6b0f26-774a-4a4a-985b-3def81602e63.jpg
[고래사] 어묵 떡볶이,4.7,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/e6eba9b8-1436-4cc3-94cf-23a6ce516b97.jpg
[고래사] 어묵면 떡볶이,4.6,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/9e691628-aabb-4500-9be2-920fe5784b03.jpg
[고래사] 어묵면우동,4.3,79,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/df278db0-c42e-4900-a53e-fcc23ee59719.jpg
[고래사] 한입 어묵 떡볶이,4.6,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/70d9ed6b-bcb4-4d2e-bbea-643ecc701f2e.jpg
[고래사어묵] 김치 우동 전골,4.7,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/6adf930f-ec7f-48bb-9014-aafe3c81f9bb.jpg
[고래주방] 동글동글 모양 떡볶이,4.7,73,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/58f7a220-8dde-44fd-8104-d8632f5e17f4.jpg
[고래주방] 바지락듬뿍 어묵꼬치 전골,4.1,20,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/0a14e91e-36d5-4274-bf46-0003e6034aa7.jpg
[고래주방] 유부주머니 떡볶이와 어묵탕,4.5,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/42a2d863-edb4-4d73-849c-a7ac082f65bd.jpg
[고래주방] 유부주머니 어묵탕,4.6,79,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/fa88332c-c994-4855-8038-75a3b75dfc65.jpg
[고래주방] 인기 분식&전골 밀키트 9종(택1),4.6,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/46c97344-8f3d-4f5b-8747-2d1af9979a0e.jpg
[고래주방] 한입꽃게 꼬치어묵전골,4.6,50,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/b8aef009-fdfc-4f8d-a60e-5d96cbe270f9.jpg
[고메] 대가 탕수육 390g,4.6,14,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/1a5f72de-6034-4552-859a-d8d981d2598b.jpg
[고메] 바르셀로나 칠리감바스 피자,4.4,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1637806623498l0.jpeg
[고메] 바삭엣지 피자 리얼불고기,4.3,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/63e22eae-6147-4ee3-9261-5d4320c418a3.jpg
[고메] 바삭쫄깃한 탕수육,4.6,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1637806680575l0.jpeg
[고메] 바삭탱글한 칠리새우,4.7,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/8a1f907d-1e8d-488b-9e34-9bbcbb79570e.jpg
