의도,문장,답변,연령대,성별,지역,인원수,월,음식종류,구매주기,상품목록,계절,연령대,성별,지역,인원수,월,음식종류,구매주기,상품목록,계절
추천,혼자에서 인기 있는 메뉴는?,"혼자에서 자주 주문되는 메뉴는 ‘[마니커F&G] 치킨텐더 플러스’, ‘[플라하반] 하이 에잇 뮤즐리 450g’, ‘[프렌떼] 무화과 리코타 바게트 샌드위치’예요.",,,,혼자,,,,"[마니커F&G] 치킨텐더 플러스, [플라하반] 하이 에잇 뮤즐리 450g, [프렌떼] 무화과 리코타 바게트 샌드위치",,,,,,,,,,
추천,호남권에서 잘 팔리는 상품은?,"호남권에서는 ‘[풀무원] 철판 오징어 부추전 300g’, ‘[산메촌] 도토리 비빔 막국수 (2인분)’, ‘[정호영의 우동카덴] 니꾸 우동’가 만족도가 높아요.",,,,,,,,"[풀무원] 철판 오징어 부추전 300g, [산메촌] 도토리 비빔 막국수 (2인분), [정호영의 우동카덴] 니꾸 우동",,,,,,,,,,
트렌드,대경권 어떤 변화가 있나요?,대경권에서는 시즌별 신제품 출시에 대한 기대감도 커지고 있습니다.,,,,,,,,,,,,,,,,,,
추천,부산에서 인기 있는 메뉴는?,"요즘 부산에서 많이 찾는 메뉴는 ‘[풀무원] 볶음밥 3종 (통새우/닭가슴살/우삼겹김치) (2개입)’, ‘[정지선의 티엔미미] 북경작장면’, ‘[햇반] 컵반 덮밥 시리즈 10종’입니다.",,,부산,,,,,"[풀무원] 볶음밥 3종 (통새우/닭가슴살/우삼겹김치) (2개입), [정지선의 티엔미미] 북경작장면, [햇반] 컵반 덮밥 시리즈 10종",,,,부산,,,,,,
추천,부산에서 인기 있는 메뉴는?,"부산에서 인기있는 메뉴로 ‘[닥터로빈] 저당 단호박 크림스프 밀키트’, ‘[조니스 그로서리] 납작 그래놀라 2종’, ‘[햇반] BIG 컵반 덮밥 시리즈 5종’를 추천드려요.",,,부산,,,,,"[닥터로빈] 저당 단호박 크림스프 밀키트, [조니스 그로서리] 납작 그래놀라 2종, [햇반] BIG 컵반 덮밥 시리즈 5종",,,,부산,,,,,,
트렌드,세종 소비 트렌드는?,세종 고객층의 신제품에 대한 관심이 꾸준히 증가하고 있습니다.,,,세종,,,,,,,,,세종,,,,,,
추천,여름에서 인기 있는 메뉴는?,"여름에서 인기있는 메뉴로 ‘[샐러드판다] 카프레제 치아바타 샌드위치’, ‘[샐러드판다] 판다의 카프레제 샐러드’, ‘[Kurly's] 샌드위치용 달걀듬뿍 샐러드 500g’를 추천드려요.",,,,,,,,"[샐러드판다] 카프레제 치아바타 샌드위치, [샐러드판다] 판다의 카프레제 샐러드, [Kurly's] 샌드위치용 달걀듬뿍 샐러드 500g",여름,,,,,,,,,여름
트렌드,밀키트 특징이 있나요?,"이용자에서 간편식, 밀키트의 수요가 점점 늘어나는 추세예요.",,,,,,밀키트,,,,,,,,,밀키트,,,
트렌드,20대 소비 트렌드는?,20대에서는 한식뿐 아니라 다양한 메뉴의 인기도 꾸준히 증가하고 있습니다.,20대,,,,,,,,,20대,,,,,,,,
추천,12월에서 잘 팔리는 상품은?,"2월에서 추천드릴 만한 메뉴는 ‘[경주미정당] 눈감고도뚝딱 가래떡 쌀떡볶이’, ‘[모두의맛집] 오세득 소고기 가지 솥밥 도시락’, ‘[정미경키친] 한우 비빔밥 세트’예요.",,,,,12월,,,"[경주미정당] 눈감고도뚝딱 가래떡 쌀떡볶이, [모두의맛집] 오세득 소고기 가지 솥밥 도시락, [정미경키친] 한우 비빔밥 세트",,,,,,12월,,,,
트렌드,대가족 어떤 변화가 있나요?,가족에서는 시즌별 신제품 출시에 대한 기대감도 커지고 있습니다.,,,,가족,,,,,,,,,,,,,,
추천,수도권에서 무엇이 좋을까?,"수도권에서 먹기 좋은 메뉴로는 ‘[뉴러우멘관즈] 량멘 2인분’, ‘[풀무원] 에프쏙 포켓쏙 피자 2종 (택2)’, ‘[쉐푸드] 샌드위치&샐러드 박스 4종 (택1)’가 있습니다.",,,,,,,,"[뉴러우멘관즈] 량멘 2인분, [풀무원] 에프쏙 포켓쏙 피자 2종 (택2), [쉐푸드] 샌드위치&샐러드 박스 4종 (택1)",,,,,,,,,,
추천,가을에서 추천해줘,"가을에서 인기 TOP3 메뉴로 ‘[정지선의 티엔미미] 홍소새우완탕면’, ‘[켈로그] 단백질바K (50g*3입)’, ‘[마이셰프] 순살 닭볶음탕’를 추천합니다.",,,,,,,,"[정지선의 티엔미미] 홍소새우완탕면, [켈로그] 단백질바K (50g*3입), [마이셰프] 순살 닭볶음탕",가을,,,,,,,,,가을
추천,프리미엄에서 잘 팔리는 상품은?,"프리미엄에서 ‘[풀무원] 한우 물냉면 (2인분)’, ‘[도산회관] 한우 소보로 주먹밥’, ‘[부침명장] 프리미엄 해물파전 300g’ 메뉴가 특히 인기가 많아요.",,,,,,,,"[풀무원] 한우 물냉면 (2인분), [도산회관] 한우 소보로 주먹밥, [부침명장] 프리미엄 해물파전 300g",,,,,,,,,,
추천,12월에서 인기 있는 메뉴는?,"다양하게 즐기고 싶다면 2월에서 ‘[창화당] 김치궁중만두’, ‘[피자로빈슨] 뉴욕 메가 슬라이스 피자 페퍼로니’, ‘[하인즈] 엑스트라 크리스피 프라이 737g’ 메뉴를 추천해요!",,,,,12월,,,"[창화당] 김치궁중만두, [피자로빈슨] 뉴욕 메가 슬라이스 피자 페퍼로니, [하인즈] 엑스트라 크리스피 프라이 737g",,,,,,12월,,,,
추천,9월에서 인기 있는 메뉴는?,"9월에서 ‘[호밍스] 팅하오 군만두(에어프라이 전용 트레이)’, ‘[올반] 얇은피 랍스터 왕교자 210g’, ‘[쉐프스토리] 분모자 로제 떡볶이 (밀키트)’ 메뉴가 특히 인기가 많아요.",,,,,9월,,,"[호밍스] 팅하오 군만두(에어프라이 전용 트레이), [올반] 얇은피 랍스터 왕교자 210g, [쉐프스토리] 분모자 로제 떡볶이 (밀키트)",,,,,,9월,,,,
추천,경기에서 추천해줘,"경기에서 요즘 가장 많이 찾는 메뉴는 ‘[리틀 차이나] 짬뽕 2인분’, ‘[최현석의 쵸이닷] 트러플크림 버섯 리조또’, ‘[맥케인] 크링클컷 700g’예요.",,,경기,,,,,"[리틀 차이나] 짬뽕 2인분, [최현석의 쵸이닷] 트러플크림 버섯 리조또, [맥케인] 크링클컷 700g",,,,경기,,,,,,
추천,경북에서 인기 있는 메뉴는?,"경북에서 ‘[Picard] 토마토&모짜렐라 뇨끼’, ‘[하루한킷] 얼큰 미나리 칼국수 전골’, ‘[광화문 미진] 메밀국수 (2인분)’ 메뉴가 특히 인기가 많아요.",,,경북,,,,,"[Picard] 토마토&모짜렐라 뇨끼, [하루한킷] 얼큰 미나리 칼국수 전골, [광화문 미진] 메밀국수 (2인분)",,,,경북,,,,,,
추천,제주에서 무엇이 좋을까?,"요즘 제주에서 많이 찾는 메뉴는 ‘[오뚜기]옛날국수_강황소면 900G’, ‘[식사이론] 동파육 청경채 만두 315g’, ‘[크라제] 뽀모도로 스파게티 (2개입)’입니다.",,,제주,,,,,"[오뚜기]옛날국수_강황소면 900G, [식사이론] 동파육 청경채 만두 315g, [크라제] 뽀모도로 스파게티 (2개입)",,,,제주,,,,,,
추천,한식에서 인기 있는 메뉴는?,"다양하게 즐기고 싶다면 한식에서 ‘[프레시지] 캠핑포차 김치어묵 우동전골’, ‘[오뚜기] 가뿐한끼 100% 현미로 지은 부드러운 현미밥 130g*30입’, ‘[쉐푸드] 찍어먹는 땡초 꼬마김밥’ 메뉴를 추천해요!",,,,,,,,"[프레시지] 캠핑포차 김치어묵 우동전골, [오뚜기] 가뿐한끼 100% 현미로 지은 부드러운 현미밥 130g*30입, [쉐푸드] 찍어먹는 땡초 꼬마김밥",,,,,,,,,,
트렌드,한식 어떤 변화가 있나요?,한식에서는 최근 1인 가구를 위한 상품의 인기도 높아지고 있습니다.,,,,,,,,,,,,,,,,,,
추천,프리미엄에서 인기 있는 메뉴는?,"프리미엄에서 추천드릴 만한 메뉴는 ‘[유노추보] 와규스테이크볶음밥 4입’, ‘[진실된손맛] 한우사골 양지곰탕’, ‘[설성목장] 한우 왕만두 420g’예요.",,,,,,,,"[유노추보] 와규스테이크볶음밥 4입, [진실된손맛] 한우사골 양지곰탕, [설성목장] 한우 왕만두 420g",,,,,,,,,,
추천,9월에서 무엇이 좋을까?,"9월에서 인기 TOP3 메뉴로 ‘[호텔컬렉션] 명란왕교자 호만두’, ‘[멜팅피스] 모둠튀김 400g’, ‘[시골보쌈과 감자옹심이] 옹심이 들깨 수제비(2인분)’를 추천합니다.",,,,,9월,,,"[호텔컬렉션] 명란왕교자 호만두, [멜팅피스] 모둠튀김 400g, [시골보쌈과 감자옹심이] 옹심이 들깨 수제비(2인분)",,,,,,9월,,,,
추천,경남에서 인기 있는 메뉴는?,"다양하게 즐기고 싶다면 경남에서 ‘[헤이오트] 국산 유기농 오트밀 1kg’, ‘[황생가] 만두칼국수(2인분)’, ‘[죠스떡볶이] 껍질없는 슬라이스 누드순대’ 메뉴를 추천해요!",,,경남,,,,,"[헤이오트] 국산 유기농 오트밀 1kg, [황생가] 만두칼국수(2인분), [죠스떡볶이] 껍질없는 슬라이스 누드순대",,,,경남,,,,,,
추천,혼자에서 추천해줘,"혼자에서 요즘 자주 찾는 메뉴는 ‘[네이쳐패스] 유기농 다크초코 헤이즐넛버터 그래놀라 300g’, ‘[리틀 차이나] 짬뽕 2인분’, ‘[엘퍼] 뢰스티 해쉬브라운 스틱 감자튀김 1000g’입니다.",,,,혼자,,,,"[네이쳐패스] 유기농 다크초코 헤이즐넛버터 그래놀라 300g, [리틀 차이나] 짬뽕 2인분, [엘퍼] 뢰스티 해쉬브라운 스틱 감자튀김 1000g",,,,,,,,,,
추천,20대에서 무엇이 좋을까?,"20대에서는 최근 ‘[애슐리] 올라 파히타’, ‘[중앙닭강정] 닭강정 3종’, ‘[쉐푸드] 우유 미니 핫도그 500g’가 인기 급상승 중입니다.",20대,,,,,,,"[애슐리] 올라 파히타, [중앙닭강정] 닭강정 3종, [쉐푸드] 우유 미니 핫도그 500g",,20대,,,,,,,,
추천,40대에서 잘 팔리는 상품은?,"40대에서는 ‘[풀무원] 쌀 국물떡볶이 2인분’, ‘[애슐리] 치즈 포테이토 딥디쉬 피자’, ‘[풀무원] 동물복지 치킨 너겟 오리지널’가 꾸준히 인기예요.",40대,,,,,,,"[풀무원] 쌀 국물떡볶이 2인분, [애슐리] 치즈 포테이토 딥디쉬 피자, [풀무원] 동물복지 치킨 너겟 오리지널",,40대,,,,,,,,
추천,남성에서 인기 있는 메뉴는?,"남성에서 인기있는 메뉴로 ‘[고메공방] 들기름 막국수’, ‘[명가교동짬뽕] 고기가득 쟁반짜장’, ‘[콜린스다이닝] 찹스테이크’를 추천드려요.",,남성,,,,,,"[고메공방] 들기름 막국수, [명가교동짬뽕] 고기가득 쟁반짜장, [콜린스다이닝] 찹스테이크",,,남성,,,,,,,
추천,1월에서 무엇이 좋을까?,"1월에서는 ‘[삼진어묵] 김치 우동 어묵 전골 (리뉴얼)’, ‘[조선호텔]칠리새우 500g’, ‘[존쿡델리미트] 브로첸 샌드위치 (3개입) 2종’가 만족도가 높아요.",,,,,1월,,,"[삼진어묵] 김치 우동 어묵 전골 (리뉴얼), [조선호텔]칠리새우 500g, [존쿡델리미트] 브로첸 샌드위치 (3개입) 2종",,,,,,1월,,,,
추천,가족에서 인기 있는 메뉴는?,"가족에서 인기 TOP3 메뉴로 ‘[풀무원] 탱글 물만두 1.4kg’, ‘[콜린스 다이닝] 여름 참외 샐러드 & 드레싱’, ‘[치엔바오] 대만 샌드위치 3종 (2번들)’를 추천합니다.",,,,가족,,,,"[풀무원] 탱글 물만두 1.4kg, [콜린스 다이닝] 여름 참외 샐러드 & 드레싱, [치엔바오] 대만 샌드위치 3종 (2번들)",,,,,,,,,,
추천,20대에서 추천해줘,"20대에서 자주 주문되는 메뉴는 ‘[포스트] 컵시리얼 3종 골라담기 (택3)’, ‘[그리팅] 뷰티핏 식단 관리 도시락 6종 (택1)’, ‘[합정동 은하루] 깐풍닭강정 450g’예요.",20대,,,,,,,"[포스트] 컵시리얼 3종 골라담기 (택3), [그리팅] 뷰티핏 식단 관리 도시락 6종 (택1), [합정동 은하루] 깐풍닭강정 450g",,20대,,,,,,,,
추천,12월에서 인기 있는 메뉴는?,"‘[창화당] 납작 숯불 왕군만두’, ‘[2개 사면 30%] 우주인피자 인기 피자 2종’, ‘[키즈다이닝] 엄마와 함께 소고기 비빔밥 세트’ 메뉴가 2월에서 많은 사랑을 받고 있어요.",,,,,12월,,,"[창화당] 납작 숯불 왕군만두, [2개 사면 30%] 우주인피자 인기 피자 2종, [키즈다이닝] 엄마와 함께 소고기 비빔밥 세트",,,,,,12월,,,,
추천,전북에서 인기 있는 메뉴는?,"전북에서 요즘 자주 찾는 메뉴는 ‘[모노키친] 빨간 어묵 볶이’, ‘[금미옥] 국물 떡볶이 (2개입)’, ‘[피자로빈슨] 뉴욕 메가 슬라이스 피자 3종 (택1)’입니다.",,,전북,,,,,"[모노키친] 빨간 어묵 볶이, [금미옥] 국물 떡볶이 (2개입), [피자로빈슨] 뉴욕 메가 슬라이스 피자 3종 (택1)",,,,전북,,,,,,
추천,인천에서 무엇이 좋을까?,"인천에서 ‘[조선호텔] 유니짜장삼선볶음밥 500g’, ‘[리틀스페인] 문어 감바스 알 아히요’, ‘[풀무원] 에프쏙 포켓쏙 피자 2종 (택2)’ 메뉴가 특히 인기가 많아요.",,,인천,,,,,"[조선호텔] 유니짜장삼선볶음밥 500g, [리틀스페인] 문어 감바스 알 아히요, [풀무원] 에프쏙 포켓쏙 피자 2종 (택2)",,,,인천,,,,,,
추천,12월에서 인기 있는 메뉴는?,"2월에서는 최근 ‘[톰볼라] 버섯 피자’, ‘[미아논나] 당근라페 200g’, ‘[바르다 김선생] 유부초밥 3종’가 인기 급상승 중입니다.",,,,,12월,,,"[톰볼라] 버섯 피자, [미아논나] 당근라페 200g, [바르다 김선생] 유부초밥 3종",,,,,,12월,,,,
추천,아침에서 무엇이 좋을까?,"아침에서 트렌디하게 즐기는 메뉴로 ‘[액티버스] 컵 오트밀 3종 (택1)’, ‘[그라놀로지] 그래놀라 기획세트 3호(150g*5종)’, ‘[그녀의빵공장] 소금빵 잠봉뵈르 샌드위치’를 추천합니다.",,,,,,,,"[액티버스] 컵 오트밀 3종 (택1), [그라놀로지] 그래놀라 기획세트 3호(150g*5종), [그녀의빵공장] 소금빵 잠봉뵈르 샌드위치",,,,,,,,,,
추천,30대에서 잘 팔리는 상품은?,"30대에서 자주 주문되는 메뉴는 ‘[경주미정당] 쌀로 만든 물쫄면 (2인분)’, ‘[한끼통살] 빠삭콰삭치킨 (닭다리살 오리지널)’, ‘[비비고] 시원 바지락 칼국수’예요.",30대,,,,,,,"[경주미정당] 쌀로 만든 물쫄면 (2인분), [한끼통살] 빠삭콰삭치킨 (닭다리살 오리지널), [비비고] 시원 바지락 칼국수",,30대,,,,,,,,
트렌드,40대 소비 트렌드는?,40대에서 최근 간편식/밀키트 소비가 꾸준히 늘고 있습니다.,40대,,,,,,,,,40대,,,,,,,,
추천,11월에서 잘 팔리는 상품은?,"1월에서 인기 TOP3 메뉴로 ‘[정호영셰프의 우동카덴] 튀김 우동’, ‘[방방곡곡] 비빔국수 키트 (2인분)’, ‘[마켓오네이처] 오! 그래놀라 퍼니 스낵 3종 (택1)’를 추천합니다.",,,,,11월,,,"[정호영셰프의 우동카덴] 튀김 우동, [방방곡곡] 비빔국수 키트 (2인분), [마켓오네이처] 오! 그래놀라 퍼니 스낵 3종 (택1)",,,,,,11월,,,,
추천,대가족에서 추천해줘,"가족에서 요즘 자주 찾는 메뉴는 ‘[올반] 얇은피 인생 왕교자 910g’, ‘[미자언니네] 흑임자 연근샐러드’, ‘[풀무원] 통통새우 쉬림프카츠’입니다.",,,,가족,,,,"[올반] 얇은피 인생 왕교자 910g, [미자언니네] 흑임자 연근샐러드, [풀무원] 통통새우 쉬림프카츠",,,,,,,,,,
추천,여성에서 무엇이 좋을까?,"여성에서 추천드릴 만한 메뉴는 ‘[바르다김선생] 찹쌀자연치즈볼’, ‘[고메] 소바바 치킨 양념 2종 (택1)’, ‘[고래사] 어묵면우동’예요.",,여성,,,,,,"[바르다김선생] 찹쌀자연치즈볼, [고메] 소바바 치킨 양념 2종 (택1), [고래사] 어묵면우동",,,여성,,,,,,,
추천,4인에서 추천해줘,"4인에서 인기있는 메뉴로 ‘[하림] 춘천식 닭갈비 밀키트’, ‘[이연복의 목란] 우육탕면’, ‘[리틀스페인] 클래식 감바스 알 아히요’를 추천드려요.",,,,4인,,,,"[하림] 춘천식 닭갈비 밀키트, [이연복의 목란] 우육탕면, [리틀스페인] 클래식 감바스 알 아히요",,,,,,,,,,
추천,남성에서 추천해줘,"남성에서 요즘 자주 찾는 메뉴는 ‘[풀무원] 식물성 지구식단 동글떡볶이 2인분’, ‘[킨더가든] 우리아이 채소달걀찜’, ‘[아임제주] 제주 메밀국수’입니다.",,남성,,,,,,"[풀무원] 식물성 지구식단 동글떡볶이 2인분, [킨더가든] 우리아이 채소달걀찜, [아임제주] 제주 메밀국수",,,남성,,,,,,,
추천,12월에서 무엇이 좋을까?,"2월에서 인기 TOP3 메뉴로 ‘[튀김공방] 바삭 카레 고로케’, ‘[고메공방] 들기름 막국수’, ‘[켈로그] 넛츠&씨드 그래놀라 500g’를 추천합니다.",,,,,12월,,,"[튀김공방] 바삭 카레 고로케, [고메공방] 들기름 막국수, [켈로그] 넛츠&씨드 그래놀라 500g",,,,,,12월,,,,
추천,4월에서 인기 있는 메뉴는?,"4월에서 요즘 가장 많이 찾는 메뉴는 ‘[또보겠지떡볶이집] 떡볶이 1봉/2봉 (맵기선택)’, ‘[최현석의 쵸이닷] 바질 고르곤졸라 뇨끼’, ‘[유노추보] 와규스테이크볶음밥 4입’예요.",,,,,4월,,,"[또보겠지떡볶이집] 떡볶이 1봉/2봉 (맵기선택), [최현석의 쵸이닷] 바질 고르곤졸라 뇨끼, [유노추보] 와규스테이크볶음밥 4입",,,,,,4월,,,,
트렌드,가족 소비 트렌드는?,"가족에서는 계절별, 연령별로 선호 메뉴에 차이가 있어요.",,,,가족,,,,,,,,,,,,,,
추천,20대에서 인기 있는 메뉴는?,"20대에서 인기있는 메뉴로 ‘[마니커F&G] 바사삭 돼지 후라이드’, ‘고기리 들기름막국수 4인분’, ‘[네니아] 군만두’를 추천드려요.",20대,,,,,,,"[마니커F&G] 바사삭 돼지 후라이드, 고기리 들기름막국수 4인분, [네니아] 군만두",,20대,,,,,,,,
추천,50대에서 무엇이 좋을까?,"50대의 베스트셀러 메뉴는 ‘[2개 사면 50%][고메] 크리스피 핫도그 400g(80gX5개입)’, ‘[쵸이닷:직원食당] 이태원식 부대찌개’, ‘[베키아에누보] 바질토마토치즈 치아바타 샌드위치 (3입)’입니다.",50대,,,,,,,"[2개 사면 50%][고메] 크리스피 핫도그 400g(80gX5개입), [쵸이닷:직원食당] 이태원식 부대찌개, [베키아에누보] 바질토마토치즈 치아바타 샌드위치 (3입)",,50대,,,,,,,,
트렌드,여성 소비 트렌드는?,여성에서는 한식뿐 아니라 다양한 메뉴의 인기도 꾸준히 증가하고 있습니다.,,여성,,,,,,,,,여성,,,,,,,
트렌드,봄 특징이 있나요?,"봄에서 간편식, 밀키트의 수요가 점점 늘어나는 추세예요.",,,,,,,,,봄,,,,,,,,,봄
추천,대경권에서 잘 팔리는 상품은?,"요즘 대경권에서 많이 찾는 메뉴는 ‘[나가타니엔] 오토나노 후리카케 미니 29.2g (5가지맛/20개입))_블랙’, ‘[홍루이젠] 쪽파 베이컨 크림치즈 샌드위치 2입’, ‘[성수동 팩피 : FAGP] 성수동 팩피: FAGP 감바스 파스타’입니다.",,,,,,,,"[나가타니엔] 오토나노 후리카케 미니 29.2g (5가지맛/20개입))_블랙, [홍루이젠] 쪽파 베이컨 크림치즈 샌드위치 2입, [성수동 팩피 : FAGP] 성수동 팩피: FAGP 감바스 파스타",,,,,,,,,,
추천,밀키트에서 추천해줘,"이용자에서 인기 TOP3 메뉴로 ‘[3개이상 구매시 33%][전주 베테랑] 칼국수’, ‘[쉐푸드] 6가지 나물 비빔밥’, ‘[성수동 분식] 김밥 2줄 6종 (1택)’를 추천합니다.",,,,,,밀키트,,"[3개이상 구매시 33%][전주 베테랑] 칼국수, [쉐푸드] 6가지 나물 비빔밥, [성수동 분식] 김밥 2줄 6종 (1택)",,,,,,,밀키트,,,
추천,여성에서 무엇이 좋을까?,"여성의 베스트셀러 메뉴는 ‘[부침명장] 계란옷 입은 고기완자 400g’, ‘[켈로그] 담백한 현미 후레이크 550g’, ‘[리틀스페인] 문어 감바스 알 아히요’입니다.",,여성,,,,,,"[부침명장] 계란옷 입은 고기완자 400g, [켈로그] 담백한 현미 후레이크 550g, [리틀스페인] 문어 감바스 알 아히요",,,여성,,,,,,,
트렌드,4월 어떤 변화가 있나요?,4월에선 빠르고 간편하게 먹을 수 있는 메뉴가 주목받고 있어요.,,,,,4월,,,,,,,,,4월,,,,
트렌드,2월 소비 트렌드는?,"2월에서는 계절별, 연령별로 선호 메뉴에 차이가 있어요.",,,,,2월,,,,,,,,,2월,,,,
트렌드,대가족 소비 트렌드는?,"가족에서는 계절별, 연령별로 선호 메뉴에 차이가 있어요.",,,,가족,,,,,,,,,,,,,,
추천,5인 이상에서 추천해줘,"5인 이상에서 인기있는 메뉴로 ‘[컴포트잇츠이너프] 클래식 보리밀 350g’, ‘[햇반] 작은햇반 130g*6입’, ‘[햇반] 컵반 비빔밥 시리즈 3종 (택1)’를 추천드려요.",,,,5인 이상,,,,"[컴포트잇츠이너프] 클래식 보리밀 350g, [햇반] 작은햇반 130g*6입, [햇반] 컵반 비빔밥 시리즈 3종 (택1)",,,,,5인 이상,,,,,
추천,2인에서 무엇이 좋을까?,"2인에서는 최근 ‘[우주인피자] 허니 고르곤졸라’, ‘[풀무원] 반듯한식 큰고기완자’, ‘[프레시지] 버섯 고추잡채 & 꽃빵’가 인기 급상승 중입니다.",,,,2인,,,,"[우주인피자] 허니 고르곤졸라, [풀무원] 반듯한식 큰고기완자, [프레시지] 버섯 고추잡채 & 꽃빵",,,,,,,,,,
트렌드,전남 어떤 변화가 있나요?,전남에서 최근 간편식/밀키트 소비가 꾸준히 늘고 있습니다.,,,전남,,,,,,,,,전남,,,,,,
