리뷰,리뷰길이,예측평점
이 제품은 처음인데 그 통의 느낌보다는 왜인지 다짐육같은 식감인지 향인지 맛이 났어요 고기가 살보다는 질긴 힘줄같은게 많아서 먹기 힘들었어요 투김옷만 두껍기만 함,90,3
종종구매하는 돈가스,10,5
후기 보고 주문했어요,11,4
고기 두께도 도톰하고 맛있어요,16,5
박스 안에 드라이 아이스가 안 들어있네요 오전 배송에 퇴근을 저녁 늦게 해서 물렁물렁합니다 안 죽겠죠 뭐 일단 먹어볼게요,67,4
세일할때 겟겟 돈까스두툼하고 맛나요,19,5
예전에 먹어보고 맛있어서 재구매해요,19,5
다른 브랜드보다 훨씬 나아요,15,4
두번째 구매 에어프라이어에 구우면 간편하게 먹을수 있어요 소스는 하이라이스 소스로 만들어 먹었어요,54,5
조리 간편하고 맛도 무난해서 쟁여두기 좋아요,24,5
반찬 없을 때 에프에 돌려 먹으면 딱 좋아요 많이 기름지지 않고 담백하게 맛있네요,45,5
바삭하니 맛이 괜찮아요 에어프라이로 조리하니 금방한 듯 괜찮아요,35,4
아들이 워낙 잘 먹어서 자주 구매합니다,21,5
남편이 좋아해서 샀어요,12,5
튀김옷이 좀 두꺼워요,11,3
맛있어서 계속 주문해요 벌써 5번이 넘은거 같습니다,28,5
아주 아주 맛있어요,10,5
에어프라이어에 돌려서 간편히 먹을 수 있어서 자주 구매합니다,33,5
기재된 조리시간 보다 좀 더 요리해야 할 거 같아요 에어프라이 15분 했는데 차가운 부분이 있네요,54,2
잘받았어요 또 주문 할께요,14,5
에프에 돌려먹으면 맛잇음 굿,15,5
좋은가격에 맛있는 돈가스 득템했어요 아이들이 맛있다고 해서 또 구매하려구요,41,5
돈까스 너무 맛있고 도톰해요,15,5
돈까스를 무척 좋아하는 으른입니당 돈까스 새벽배송 도착하자마자 아침식사로 얼른 에프에 돌려서 간단히 먹었어요 컬리 이용할때면 빠지지않고 구매하는 품목 중 하나가 돈까스인데 통등심은 진짜 가성비도 좋고 맛도 좋고 빠지는게 없네용,126,5
항상 구입하고 있어요,11,5
돈까스 가성비 넘 좋아요 두툼하고 양도괜찮고 편하해서 가끔 구비합니다,38,5
돈까스 처음 구매해봤는데 너무 기대됩니당,22,5
예열을 꼭해야지 안하면 눅눅해요,17,4
닭도사봤었는데 등심이 훨씬맛나요,17,4
간단하게 먹을때 꺼내먹기 좋아요,17,5
통등심 맛나요 바삭바삭좋아요,15,5
괜찮아요 재재구매 함,11,4
통등심 돈까스 가끔 먹고 십을때 에어프라이어에 구워서 먹으니 맛있네요,38,5
맛있어서 떨어질때마다 구매해요,16,5
컬리 돈까스 퀄리티 최고네요 에어프라이기에 구워서 맛있게 먹었어요 겉 튀김옷이 바삭바삭 사먹는 돈까스와 비슷해요 집에서도 이렇게 맛있는 돈까스를 먹을 수 있다니 정말 행복하네요 컬리 돈까스 추천템입니다,112,5
신랑이 돈까스파 딸이 치킨까스파다 보니 이번엔 돈까스를 주문했어요 치킨까스는 지난주에 먹었으니 신랑이 좋아하겠어요,63,5
에어프라이어에 구우면 간편하고 맛있어요,21,5
지난번에 사서 먹어보고 맛있어서 두번째 구매 했어요,28,5
가츠동 만들어먹었는데 고기가 두툼하니 맛있네요,25,5
돈까스는 컬리 짱 냄새두 안나구 에프에 돌림 끝,26,3
국산돼지 세일까지,9,4
재재재구매입니다 이 돈까스가 제일 맛있네용,23,5
두툼해서 12조각만 구워도 세식수 배불리 먹어요,26,5
두툼해서 12조각만 구워도 세식수 배불리 먹어요,26,5
늘 쟁여두는 최애입니다 아이들 돈가스 먹고싶을 때 하나만 데워도 충분히 나누어 먹더라구요,49,5
항상 냉동실에 쟁여놓습니다 에프에 돌리기만하면 맛있게 완성됩니다,35,5
저렴하고 양도 많고 맛있습니다,16,5
에어프라이어에 맛있어서 딱 좋아요,18,5
고기가 도톰하고 에어프라이어 돌려서 편하게 조리 가능해서 좋음,34,5
에어프라이어에 간단히 해먹을 수 있어서 좋아요,25,5
자주 구매하는 돈까스중 하나예요,17,5
고기가 두툼해서좋아요 에어프라이어 돌리면 되니 넘 간편하구요,33,5
돈까스 맛나용 에프에 구우면 맛있어요,20,5
겉은 바삭 속은 담백 맛있는 돈까스,19,3
자주 시키는 상품이에요,12,5
가끔씩 먹으면 맛있는 돈까스 바삭바삭 맛이 좋아요,27,4
에어프라이어 180도 양면 10분씩 구워주니 갓 튀긴 것처럼 바삭바삭해요 고기도 두툼해서 씹는 맛 좋네요,58,5
재구매 필수템이에요,10,5
가끔 찬이 부족할때 돌려먹는 치트키 알맛게 잘 튀겨진 상탁에 칼라라서 에프에 먹기 좋아요 눈으로도 즐기기 최고,61,5
조리 간편하고 맛나요,11,5
매번 작은사이즈 꼬마돈까스 사다가 이번엔 큰거 사봤는데 맛있으면 좋겠어요,40,4
에어프라이기로 돌릴때 맛있는게 은근 없는데 이건 이름부터 써있어서 고르기도 쉽고 먹었을때도 만족해서 재구매합니다,62,5
맛있어요 에프에 돌려먹으면 간편하고 굿,21,5
돈까스 맛있어 종종 시켜요,14,5
잘먹고 있어요 좋아요,11,5
자주구매하는 템이에요 냉동실에 항상 있네요 맛나요,27,5
쟁여뒀다 먹기 좋아요,11,5
고소담백빠삭 다 있음 냉동실이 든든해요,21,5
두툼하고 맛있어서 좋아요,13,5
돈까스 에어프라이어에 돌리면 맛있어요,20,5
돈까스가 통통하고 맛있어요,14,5
간편하게 먹을 수 있어 좋아요,16,5
365 제품 이것저것 이용해보고 있는데 가격대비 가성비 좋은 제품이 많아서 돈까스도 후기가 좋길래 구입합니당,60,5
빠삭한 튀김옷과 촉촉한 등심돈까스 에프에 데워서 간단히 편리하게 먹을 수 있어요 냉동실 쟁여탬,52,5
컬리돈까스중 제일 맛있어요,14,5
컬리 돈까스 맛있다고 소문 자자해서 주문해봤어요 돈까스샌드위치랑 돈까스정식 이것저것 해먹어보고 맛있으면 냉동실쟁여템해야겠습니다,70,5
여러번 재구매 입니다,11,5
가게에서 파는 것처럼 고기가 두껍고 맛있어요,24,4
간편히 먹기 좋아요 아이 아빠가 혼자 아이식사 준비할때 유용하다고 하더라고요,42,5
후기믿고 주문해봤어요 카레에 곁들여 먹으려구요,25,5
반찬 없을 때 한끼 해먹기 좋습니다,19,5
재구매 조리편하고 맛있어요,14,5
맛있어용 돈까스통통하고 안느끼해여,18,5
튀김 제품 컬리꺼 다 괜찮은거같아요 가격도 착하고 맛있어요,32,5
돈가스 가끔먹음 맛있어요,13,5
첨 구매했는데 여름이라서 비빔면이나 냉면에 곁들여 먹으려고 해요 에어프라이로 덜 더울듯,48,5
겉면은 바삭하고 속은 부드러운 질감이에요,22,4
세번째 구매요간편하고 맛도있어요,17,5
돈까스때문에 컬리쇼핑을 합니다 재래시장 정육점 여기저기 인터넷쇼핑으로 돈까스 주문하다가 컬리로 정착함,56,3
365 에어프라이어용 통등심 돈까스 맛있어요,24,5
뭐 말해 뭐합니까 맛도리쥬 카레돈가스 해먹으면 굿,27,5
보통의 돈까스예요 좀 펵퍽했던것 같아요,21,3
돈까스 참 좋아하는데 양도 많고 좋아요,21,5
맛있어서 세번째 구입이에여,14,5
에어프라이어에 해서 비빔국수랑 믝음 맛나요,23,5
갓 튀긴 돈까스 같아요 에프에 돌려먹으니 맛있어요,27,5
여러번 주문했어요,9,4
재재재구매에요,7,5
일단 저는 에프용인걸 모르고 구매 했어요 한 번 튀겨져 나온거고 에프에 굽기만 하면 되는데 쓴 맛이 납니다 그 오래쓴 기름으로 튀긴 그 쓴맛이요 직접 기름에 튀겨 먹는걸 좋아하는지라 재구매는 안할겁니다,112,2
에어프라이어로 요리가능하고 두툼해서 자주 구매해요,27,5
정말 이돈까스는 주기적으루 주문하는거에오 돈까스기 정말 통통하고 살이 순살이라서 항상 주문함니다,53,5
종존 시키는덴데 가격이 올라서승픔,18,3
우동과 먹으려고샀는데 잘 산듯 내용 충실함,23,4
후기대로 정말 맛있어요 아이도 정말 잘먹어요,24,5
가격이 괜찼아서 주문해봤는데 너무 맛나요 고기도 두툼해요,31,4
통등심 돈가스라 도톰하고 맛있어요 아이가 잘 먹네요,28,5
바삭하고 맛있어요,9,5
사봤어요 맛있기를 바라며,13,5
맛있어서 깜짝놀랐네요 에어프라이어에 돌리니 간편한데 바삭바삭해요 앞으로 돈가스는 이걸로 정착하면 될것같아요 성인에게 한 덩어리는 좀 양이 적어서 152개 구워야해요,91,5
맛있어요 추천해여,9,5
에어프라이어에 조리해서먹기가 간편해서 재구매했어요 맛이 괜찮아서 이번엔 큰용량으로 샀어요,49,4
전자렌지 돌려서 팬에 구우면 조리시간이 줄어요,25,5
비상 반찬 있어야하는 돈까스,15,4
겉바속촉이에요 맛나요 아이들이 잘먹어요 늘 주문합니다,29,5
바삭하게 구워서 가츠산도로 만들면 맛있어요,23,5
역시 언제 먹어도 맛있는 돈까쑤 고기도 끝까지 차있고 바삭하니 짱맛 항상 여기 돈가스 먹어욤,51,5
통고기 돈까스라 씹는 식감도 좋구요 담백하고 맛 좋아요,30,5
컬리자체템 다 잘 나오는데 그중에서 통등심 돈가스가 맛있더라구요 크기도 크고 두툼해서 한끼 반찬 고민될 때 최고에요,64,5
간편하고 맛있어요,9,5
아직 먹어보진 않았는데 맛있어 보이네요 에어프라이어기에 구워 먹으려고 샀어요,42,5
상품 좋아서 자주 구매합니다,15,5
아직 안 먹어 봤는데 돈까스가 튼실 하고 좋은거 같애요,30,5
오랜만에 시키니 맛나네요,13,5
맛있어서 자주 사게되요,12,5
맛있어요 재 구매 가성비좋아요,16,5
고기도 튼실하고 맛있어요 미니만 사다 이걸로 산뒤론 카츠샌드도 종종 해먹습니다,43,5
통등심 돈까스 감사합니다 잘먹을께요,19,5
기름에 튀겨먹는게 훨씬 맛있어요,17,4
아포장지를 버려버렸네요보관이 나쁘다는점 빼곤 괜찮아요에프에 시간을 잘 맞춰야할듯해요 딱딱해지더라구요제 입엔 쏘쏘했어요,65,4
돈까스 나베 해먹으려고 샀어요,16,4
엘베공사로 배달음식이 불가해서 비상용으로 구매했어요 가격도 착하고 맛있어서 밥하기 귀찮은날 한끼용으로 딱 좋아요,62,5
정말 맛있는 컬리 통등심 돈까스 고기잡내없고 기름냄세 없고 특히 튀김옷이 타지않고 적당히 노릇해서 좋아요,58,5
바쁠때 간편하게 사용하니 정말 편하네요 굿,23,5
통등심 돈까스 맛있게 장 먹었습니다,19,5
짜지않고 두툼해서 맛있어요,14,5
빠른배송 굿 조리가 간편해서 좋아요,19,5
저희집 최애 돈가스에요,12,5
냄새도 안나고 맛있어요,12,5
고기 두툼해서 맛있어요,12,5
간단하게 밥반찬 하기좋아요,14,5
컬리 돈까스는 종류별로 거의 다 먹어봤는데 오리지널은 요거입니다 맛있어요,40,5
크기도 큼직하고 맛있어요 에어프라이에 돌리기만 하면 되니깐 일본커리 먹을때도 같이 먹고 카츠산도 만들때도 딱이에요 필수로 챙겨두는 아이템입니다,79,5
아이들도 잘먹고 조리도 편해요맛있어요,20,5
최애 돈끼스 간편하고 도톰하거 맛있어요,21,5
두껍고 맛있어요,8,5
양도 많고 두껍고 맛도 좋아요,16,5
대기업 돈까스만 사먹다가 컬리 돈까스 사봤는데 퀄 좋아요 카레돈까스 아주 나이스,44,5
계속 재구매하는 상품입니다,14,5
좋아요 맛있어요 편해요,12,5
크기는 밥 반찬으로 먹을 때 적당할 정도로 조금 아담해요 근데 두께가 두꺼워서 씹는 맛이 좋아요 잡내 비린내 하나도 없고 집에서 조리하는건데 외식으로 먹는 맛하고 비슷해요 맛있습니다 또 시켜먹을 의향 1000,116,4
계속 구매하고 있어요 조리도 쉽고 맛있어요,23,5
생각보다 괜찮네요 에프에구우니 맛있어요,21,5
이거 퀄리티도좋고 너무좋아서 재구매합니다,22,5
늘먹던거예요 맛있어요,11,5
가성비 끝내주는 돈가스 저희 가족 모두 좋아해요,26,5
맛있고 냄새 안나요 에프에서 조리하면 바삭해요 잘먹을게요,31,5
컬리돈까스 가성비좋와서자주사먹습니다,19,5
두툼해서 좋아요 에프에 긴편하게 조리해요,22,5
먹을만해요 괜탆아요 가성비,14,4
후기가 좋아서 주문해보았어요 돈까스 패티가 생각보다 사이즈도 크고 도톰해요 에어프라이어에 꾸비서 갓뚜기 돈까스소스랑 해서 맛있게 먹어볼께요,77,5
재재재구매죠 맛있어요,11,5
맛있게 잘먹고 있습니다아아 추천해여,19,5
에어프라이어에 구워서 먹으면 깔끔하고 맛있어요,25,5
첫주문인데 통통하고 에프돌리니 기름도쫌빠지고 바삭하고 맛있네요,34,5
냉동실 쟁여템입니다,10,5
간편하게 에프 돌려먹을수 있어서 가끔씩 구매하는데 먹을만해요,33,4
에어프라이어 돌려주면 기름기 빠지고 맛있어요,24,5
저번에 규매해서 맛있었어서 또 구매합니다,22,5
컬리 돈까스 맛나요 에어프라이어에 하면 굿,23,5
냉동실 상비용입니다 무난하고 괜찮아요,20,4
맛있게 먹어서 재구매 합니다,15,5
포장 잘되서 왔어요맛있습니다두툼해요,19,5
무난한 냉동 돈까스,10,3
가격도 저렴하고 가성비도 좋아요 에어프라이기에 돌리면 바삭바삭하고 두께도 두툼해서 맛있어요,50,5
다른장보면서같이구매했어요에프에돌리면맛있어요,23,5
돈까스 등심이라 에어에 돌려서 잫 먹고 있어요,25,5
후기가 좋아서 주문했어요 아직 안먹어봤어요,23,5
가성비 좋은 돈가스예요,12,4
저번에 먹고 재구매,10,5
다들 냉동실에 돈까스 하나쯤은 쟁여두잖아요 가성비좋고 맛도 좋아서 항상 구비해놓습니다,47,5
맛있어서 정착하려구요,11,5
냄새없고 맛있어서 자주 구매해요,17,5
간편하게 먹기 좋아요,11,5
덩치 좋은 돈까스가 9장 이니 든든하더라구요 맛은 좋았으나 고기 덩어리인데 왠지 고기가루 있는 듯한 느낌이 조금 아쉽긴 했어요 대체적으로는 좋은 편이고 잘 먹었습니다,92,4
상품평 좋아서 샀는데 맛있네요,16,5
두툼한 통돈까스라 하나만 먹어도 포만감과 간편하게 에어프라이어에 돌려 먹으면 겉바속촉 너무 맛있어요,55,5
돈까스 에프용으로 잘 나왔어요,16,5
밥반찬 1티어 쟁여두고 잘 먹고 있습니다,22,5
아들이 좋아해서 자주 구매는 하는데 나는 별로임,26,4
에어프라이기에 바로 돌려 먹으면 넘 간다하고 좋아요,28,5
가격 착해서 쟁여놔요 먹을것 없을때 간편하고 좋아요,28,5
첨구매입니다 미니 만 먹다가 요것두 후기 좋아서 구매했어요,32,5
양도많고 간단하게 먹을수있고 맛있어요,20,5
돈가스 덮밥 잘해먹어요 맛있어요,17,5
맛있어용 맛있어용 저렴하게구입했어요,19,5
맛 괜찮네요 양도 많고요,13,5
컬리 돈까스 늘 만족했는데 이번껀 좀 얇고 딱딱했어요 단면 고기도 검은빛 돌고 좀 별로였습니다,52,2
아이 있는 집에 꼭 있어야 하는 돈가스 에프로 간단히 조리할 수 있고 양도 넉넉해서 늘 주문해요,53,5
바삭하고 잡내없어 먹기 좋아요,16,5
두껍고 고기도 맛있어요 조리 편해서 자주 구매해요,27,5
후기보고 구매했어요 맛있길 바래요,18,5
가격도좋고 맛도 괜춘함,12,4
반찬 없을때 먹으려고 주문했어요 아들이 맛있다고 합니다,30,5
컬리 돈까스로 김치나베 해먹으면 진짜 맛납니다,25,5
꾸준히 주문하는 돈가스예요간편히 에프에 돌려 먹습니다,29,5
후기가 좋아서 구입 맛있겠죠,15,4
에어후라이에 조리해 좋고 고기도 두툼해요,22,5
뚝딱 만들기 편하고 맛있어용,15,5
에어프라이어용이라 너무 간편하고 맛있어요,22,5
항상 떨어지지 않고 구비해두는 식품 맛도 좋아요,26,5
두툼하니 너무 맛있어요,12,5
넉넉한 크기 맘에들어요,12,4
항상 재구매하는것중 하나에요,15,5
맛있어요 재구매의사있음 가성비좋아요,19,5
항상 쟁여놓고 먹는 돈까스예요,16,5
몇번이나 컬리에서 샀는데 오늘 처음 맛보네요 퇴근하고 부랴부랴 저녁밥상 차릴때 에프용 돈까스 정말 유용합니당 애들이 너무 맛있어 해서 오늘은 맥주 한잔하며 첨으로 맛봤는데 진짜 맛있네요 조리시간도 짧고 워킹맘에겐 최고의 반찬입니다 재재재구매에요 무조건 옆에 있는 만두도 넘 맛있어요 컬리 교자만두,165,5
등심이라 고기도 두툼,11,4
튀김이 조금 두꺼워서 아쉽지만 맛있어요,21,4
가끔 별식으로 좋아요,11,4
장보기 물가 정말 무섭죠 돈까스도 외식하려면 덜덜덜 집에서 아주 편하게 맛있게 드실 수 있어서 아주 좋더라구요,61,5
매번 구매 실속형 아주 튼실한 두께,19,5
늘 주문하는 돈까스컬리가 최고예요,18,5
반찬없을때 요긴해요 애들도 좋아하고,19,5
두툼한 돈까스 에프에 구워 간단하게,19,4
가성비 좋고 맛도 있어요,13,5
맛있어요 신선해요 만족합니다 추천합니다,21,5
잘받았어요 감사합니다,11,5
여러제품 구매해 봤는데 이게 제일 냄새안나고 맛있습니다,30,5
큼직하고 맛있게 먹었어요,13,5
두번째 구매합니다 양 많고 맛있어요,19,5
맛있게 잘먹었습니다 감사합니다 재구매 의사 있습니다,28,5
에어프라이어용이라 조리도 간편하고 겉바속촉 너무 맛있어요,31,5
매번 재구매해서 잘 먹고 있어요,17,5
지퍼백이 생겨서 좋습니다 따로 옮기지 않아도 되고 안에 플라스틱 이 안들어 있우니 공간차지도 안하고 좋습니다 에어프라이어 15분 구우면 고기도 촉촉하고 바삭하고 부드럽고 맛있습니다 고기도 두껍습니다,110,5
이거 진짜맛있어요 파는돈가스같아요,18,5
에프 없어서 오븐에 구웠는데 맛있어요,20,4
돈까스는 무조건 365 미니돈까스만 먹는데 크고 두툼한 돈까스가 먹고 싶어서 큰봉지로 큰돈까스 진짜 간만에 주문했어요 미니돈까스가 훨씬더 간편하긴 해요 오랜만에 먹어도 역시나 바삭하고 두툼하니 맛있네요 1인당 2개씩 포식해도 5개나 더 남아 있다는요 양도 진짜 많아서 큰거로 1봉지만 사도 한참 먹겠어요 암튼 너무 맛있게 잘 먹었구요 개취이긴 하지만 제입맛엔 판매되고 있는 냉동 돈까스중 최고인듯 합니다,225,5
냉동실에 항상 구비해놓는제품,15,5
가성비 좋은 것 같아 구입했습니다 고기도 얇지 않고 괜찮네요,33,4
아이들이 항상 좋아해요 돈까스 맛있어요,21,5
돈까스는 이것만 주문합니다,14,5
아직 안먹어봤어요 평이 좋아 구매해봄,20,5
간편해서 자주 구매해요,12,5
바삭함이 오래가서 사먹는거 보다 더 맛있어요,24,5
비상 반찬용 간편하고 좋아요,15,5
고기가 실하고 바삭하고 맛있네요,17,5
가성비 좋아서 구매해요,12,5
에어프라이어에 튀겨먹으면 간편하니 맛있어용 근데 좀 빨리 식긴 해여,37,4
반찬 없을때 먹기 좋아요,13,5
생선 치킨 돈까스 다 재구매하네요,18,4
비상 반찬으로 좋아요,11,5
재구매 맛있어요,8,5
자주 사먹어용 통등심이라 믿을만하네여,20,5
컬리에서 돈까스는 이제품만 시키고 있어요 다른건 가격대비 별로인것도 많단말이에요 요상품은 돈까스 크기도 크구요 5팩들은건데 크기가 다 비슷해서 좋더라구요 어떤건 작고 크고 이런던데 요제품은 일정한 크기라서 계속 주문하는 이유이기도 합니다 1인1개 먹으면 배부른크기 남편이 등심돈까스좋아해요 앞뒤로 180도 각 7분씩 돌려주면 겉이 바삭해지더라구요 냉동제품인데도 냄새도 안나요 고기질감이 잘씹혀서 질기지도 않구요 메인반찬으로도 잘어울리구요 쌀국수나 우동 같은 메인에다가 곁들어먹는 반찬이랑도 잘어울려요 2차안주랑도 찰떡 다음에는 김치나베로 만들어보고싶어요,309,5
개존맛탱그리 입니다 이거없이 밥못먹음,20,4
